entity,ean,description,gtin,width,height,length,net_weight,gross_weight,created_at,updated_at,release_date,price,avg_price,max_price,min_price,gtins[0].gtin,gtins[0].commercial_unit.type_packaging,gtins[0].commercial_unit.quantity_packaging,gtins[0].commercial_unit.ballast,gtins[0].commercial_unit.layer,origin,barcode_image,api_status,thumbnail,brand.name,brand.picture,ncm.code,ncm.description,ncm.full_description,ncm.ex,gtins[1].gtin,gtins[1].commercial_unit.type_packaging,gtins[1].commercial_unit.quantity_packaging,gtins[1].commercial_unit.ballast,gtins[1].commercial_unit.layer,category.id,category.description,category.parent_id,cest.id,cest.code,cest.description,cest.parent_id,gtins[2].gtin,gtins[2].commercial_unit.type_packaging,gtins[2].commercial_unit.quantity_packaging,gtins[2].commercial_unit.ballast,gtins[2].commercial_unit.layer
Ar Condicionado,7898945166485,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166492,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166546,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166614,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166638,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166683,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166874,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945166904,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167031,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167079,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167123,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167154,CONDENSADORA ON OFF CARRIER 57000 BTUS FR 380V TRIFASICO 38CCW060235MC 20411,7898945167154,,,,,,2026-01-09T02:45:59.000-03:00,2026-01-09T02:46:00.000-03:00,,,,0,0,7898945167154,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7AA824DAB2537C9984C78073BBBEDC01.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167185,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167338,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167352,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167444,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167536,UNIDADE INTERNA SPLIT HW 9 KBTUS SO FRIO 220V INVERTER R32 MIDEA AI ECOMASTER 42EZVCA09M5,7898945167536,,,,,,2025-09-07T02:04:39.000-03:00,2026-02-03T10:11:15.000-03:00,,,,0,0,7898945167536,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7AA824DAB2537C99B80ACC9ACED8B986.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167550,SPLIT 18000 MIDEA IA INV 42EZVCA1 38EZV,7898945167550,,,,,,2025-10-26T05:29:10.000-03:00,2025-10-26T05:29:11.000-03:00,,,,0,0,7898945167550,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7AA824DAB2537C99E50EE60BFF27EEA5.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167642,42EZV COND AR SPLIT 24000BTU INVERTER AI ECOMASTER QFMIDEA,7898945167642,,,,,,2025-11-07T09:18:07.000-03:00,2025-11-07T09:18:08.000-03:00,,,,0,0,7898945167642,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7AA824DAB2537C99B6C4C835E6247D0D.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167680,38EZV COND AR SPLIT 24000BTU INVERTER AI ECOMASTER QFMIDEA,7898945167680,,,,,,2025-11-07T09:09:13.000-03:00,2025-11-07T09:09:14.000-03:00,,,,0,0,7898945167680,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7AA824DAB2537C994FE1823B68720215.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898945167963,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898957911660,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
